news_content,impact_type
"Long working hours, mental health at risk... to the point of heart attack. In recent weeks, many employees of major investment banks have come forward to explain just how unbearable their workloads have become. The health crisis has played a major role in blurring the boundaries between private and professional life. Several banks have announced new measures to try and relieve their teams. But changing the corporate culture of these investment banks is likely to take time.",Risk
"In more than 130 countries around the world, press freedom is at least hindered, if not outlawed. These are the findings of the latest Reporters Without Borders annual report. The pandemic crisis has set back this right. France ranks 34th out of 180 countries evaluated.",Risk
"Sitting in front of his computer on his dining table, Victor rubs his eyes: staring at his multiple graphics on the screen of his laptop from 9am to 7pm, he feels his eyesight blurring and complains of headaches more and more often. His back, too, aches. As does his neck, aching from bending his head down towards his laptop. Like Victor, 40% of the 7,000 European teleworkers surveyed by Atomik Research for Fellowes say they suffer from eye and back pain. And a third admit to regular headaches.",Risk
"Half say that telecommuting causes them more pain and strain than working in the office. This is hardly surprising, given that after a year of sometimes continuous telecommuting, most of them still don't have a suitable workstation at home. Worse still, 12% work from their sofa, and 4% from their bed or on the floor. However, ""an unsuitable workstation can generate postural or articular constraints"". Over the long term, this can lead to ""musculoskeletal disorders of varying intensity"" such as tendonitis or joint and muscle pain, stresses the French National Institute for Research and Safety (INRS).",Risk
"A sedentary lifestyle also increases cardiovascular and venous risks. ""We're seeing the emergence of telecommuting phlebitis, which we've dubbed 'e-phlebitis': patients who have no particular risk factors, who tend to be young, but who spend 12 hours a day telecommuting, sitting at their home office, with little or no movement, and little to drink,"" warns Claire Mounier-Vehier, a cardiologist at the Lille University Hospital's Heart-Lung Institute and Professor of Vascular Medicine at the University of Lille, on LinkedIn.",Risk
"While the pandemic has considerably reduced the number of migrants worldwide, it has, on the other hand, exacerbated the factors driving migration. Food insecurity, conflict, economic crisis... all ""triggers"" that have an impact on displacement, explains the International Organization for Migration. Added to this are climate change and a new reality: ""stranded migrants"", who are trapped on their way back to their countries of origin due to sanitary measures.",Risk
"The pandemic has also created ""a new reality"", says Antonio Vitorino: ""stranded migrants"" who were trying to return to their countries of origin, but were unable to do so because of the consequences of the pandemic. The latter, estimated at 3 million worldwide, including 1.2 million in the Middle East and North Africa alone, are stranded on their way home. They will be fuelling the next wave of displacements, and ""are starting to move around using traffickers"", added the IOM Director General.",Risk
"In this respect, ""we're returning to normality in the worst possible way"", he said. He continued: ""In the absence of legal migration routes, people are trying to move by irregular means. Has the pandemic changed that? Not at all! In Libya, the smugglers only stopped for three weeks, in March 2020. After that, everything went back to the way it was before.""",Risk
"Air quality in the metro has been closely monitored by RATP since 1997, and this data is now available to the general public. However, the Respire association considers that the measurements communicated are underestimated and endanger the health of users. For this reason, it has filed a complaint against the Parisian transport authority.",Risk
"On Monday March 22, the Respire association lodged a complaint against RATP for ""aggravated deception"" and ""involuntary injury"". The complaint concerns air pollution levels in the Paris metro, which have already been criticized by the association. According to the complaint, filed with the Paris judicial court, there is ""a critical level of air pollution in RATP's underground railways"".",Risk
"The aim is to produce alternative scientific studies that attribute lung cancers to other origins, such as genetics or air pollution. Tobacco becomes a cause of cancer like any other. Sowing doubt in the minds of the public is a way of ""buying time"", as the scientists interviewed all emphasize. An effective strategy, since the tobacco industry would not be condemned until 40 years later.",Risk
"The subject is such that the Commission nationale consultative des droits de l'Homme (CNCDH) has taken it up in a communication on ""the fundamental rights of workers during the state of health emergency"". It explains: ""The massive use of telecommuting raises with new acuity the question of reconciling private and professional life (...), obligations which are part of professional activity and which in normal circumstances are only intended to apply in the workplace are applied at home, with the consequence of increasing psychosocial risks such as anxiety and burnout"".",Risk
"G20 members pledged to provide access to vaccines for every country on the planet at their latest annual meeting - exceptionally virtual this year - held under the Saudi presidency this weekend. Since Pfizer's announcement that it had found an effective serum, there has been competition between countries for access to the first batches.",Opportunity
"As for the other leaders, they say they ""fully support"" the mechanisms put in place by the World Health Organization (WHO) to ensure that future vaccines are not reserved for prosperous countries, and promise to ""fill the financing needs that still exist"". ""Even if competition may be inevitable here, we must be guided above all by the humanitarian aspect"", assured Russian President Vladimir Putin on Saturday November 21.",Opportunity
"""You can feel the gloom, the difficulties. We've reached people who had no psychiatric antecedents, but who were in serious distress,"" testifies Dr. Nathalie Salomé, a psychiatrist at a hospital center, on France 3. This ""third wave"" of ""mental health"", as Health Minister Olivier Véran has dubbed it, seems to have grown up in the shadow of the economic and health crisis. Its impact could be major in the recovery. ""There can be no prosperous economy in a deteriorating health situation"", said Emmanuel Macron on October 28.",Risk
"The Food and Agriculture Organization of the United Nations (FAO) paints a bleak picture in a new report. According to the report, Covid-19 could plunge up to 132 million more people than expected into famine by 2020. ""Pockets of food insecurity may emerge in countries and population groups that were not traditionally affected,"" notes the FAO. ""A preliminary assessment suggests that the pandemic could add between 83 and 132 million people to the total number of undernourished people in the world in 2020, depending on the economic growth scenario"", it points out.",Risk
"While this reassessment has yet to be confirmed, it does point to a trend that has been confirmed since 2014: the number of people affected by hunger worldwide is increasing. As early as the end of April, when several countries had opted for containment to limit the spread of the virus, FAO Executive Director David Beasley warned: ""We are on the cusp of a hunger pandemic"".",Risk
"12,000 people a day could die of Covid-19-related hunger
The alert was so important that three organizations that don't usually write communiqués together - the FAO, the World Health Organization (WHO) and the World Trade Organization (WTO) - issued a joint document in April warning of the growing risk of a global food shortage. To combat the spread of the virus, some countries have taken protectionist measures such as restricting exports, thereby putting the supply of certain raw materials at risk in countries in demand.",Risk
"The paradox of food overproduction
The NGO has identified ten countries where the food crisis is getting dangerously worse as a result of the virus. These include Yemen, the DRC, Afghanistan and Venezuela. ""Together, they account for 65% of people facing a hunger crisis worldwide. But new hotspots are also emerging. Middle-income countries such as India, South Africa and Brazil are experiencing a rapid increase in hunger"", stresses Oxfam.",Risk
"""This pandemic has really revealed the flaws in the system and where it's starting to break down,"" Nate Mook, managing director of food relief group World Central Kitchen, tells Bloomberg. A situation all the more difficult to understand given that the current level of food overproduction is without comparison ""thanks to the advent of modern agriculture, which has seen crop yields explode"", sums up the newspaper.",Risk
"A leisure office for four employees
This focus on the employee has become a leitmotif for the founding CEO of Provepharm, Michel Féraud, an 80-strong pharmaceutical company based in Marseilles. And Covid was the opportunity to take it a step further. ""A consultant called each employee for 30 minutes during the lockdown to find out how they were doing. I had rated my condition at 6/10, so it was the boss who called me directly to check on me, and he did the same for the isolated employees"", says Marie-Pierre Collin, Communications Manager.",Opportunity
"The ultimate goal of holacracy is to achieve self-management, but it's a very long process because it requires breaking out of the usual shackles. ""Every employee is recognized as an expert in his or her role, and is the one who makes the decisions. This really gives them a sense of responsibility, enables them to develop their full potential and therefore motivates them. The company becomes an ecosystem of entrepreneurs, and customer-supplier relationships are established internally"", explains Bernard Marie Chiquet, founder of the Igi Institute. He has been working on these issues for the past 12 years, and has already supported around 100 companies.",Opportunity
"No more hierarchy, no more management
The whole thing is orchestrated by a Constitution (1), which defines the rules of the game within the company. ""This allows us to free ourselves from the whim of the manager, the fait du prince. No more hierarchy,"" says Bernard Marie Chiquet. ""The company is freed from power games and implicit rules, so that everyone can flourish and get involved. The company becomes more agile, and the freedom to speak is liberated. Yes, but... Not all employees aspire to greater responsibility, and not all feel comfortable without a boss. Not everyone feels able to say out loud what they're thinking, speak in public or face the gaze of others.",Opportunity
"That's what Hugo Mouraret, an employee at Scarabée Biocoop, which underwent its transformation in 2015, had to deal with. ""Responsibility, autonomy and freedom can't be decreed; you need support. And for some people, work isn't a place where they can blossom, so you have to deal with that."" Another pitfall to avoid: not confusing the end of bosses with the end of managers. ""We had done away with anything to do with managerial skills, which caused a lot of harm. Employees felt they had no right to need help. So we put managers back in place. But that's just one step towards empowering everyone,"" he assures us.",Opportunity
"Jean-Sébastien Jacques will have to leave Rio Tinto after all. The mining giant's CEO, whose bonuses were cut by the Board of Directors at the end of August following the destruction of a 46,000-year-old Aboriginal cave in Australia to expand an iron ore mine, has been dismissed along with two other senior executives. The decision was welcomed by aboriginal rights groups and investors, who felt that the initial sanction was too lenient.",Opportunity
"""Even though the new Coronavirus affects every person and community, it does not do so very equally"". UN Secretary General Antonio Guterres says so. From a health point of view, the poorest are the hardest hit by Covid-19. The French Department of Research, Studies, Evaluation and Statistics (Drees) estimates that individuals belonging to the fifth of the population with the lowest incomes are one-and-a-half times more likely to develop a serious case of Covid-19. Exposure to contamination is also higher for those living in precarious conditions, notably overcrowded housing.",Risk
"Exceptional water demand
This green fruit requires a lot of water. Producing one kilogram of avocados requires 1,000 liters of water, notes Die Zeit newspaper, which in 2016 investigated the ecological disaster associated with avocado cultivation. According to the World Economic Forum, in the Mexican state of Michoacan, the world's leading avocado producer, around nine million cubic meters of water are used every day - the equivalent of 3,000 Olympic-sized swimming pools. This excessive extraction of water could have unexpected consequences, such as the multiplication of small earthquakes in the area.",Risk
"""Intensive avocado production has led to a loss of biodiversity, extreme weather conditions, considerable soil degradation and is on the brink of an entirely man-made environmental catastrophe"", warns the World Economic Forum, which also points to the risks of illegal deforestation to make way for avocado plantations.",Risk
"Demonstrators briefly occupied ministries in what appeared to be coordinated operations. The Ministry of Foreign Affairs was targeted and briefly occupied. Demonstrators proclaimed it the ""headquarters of the Revolution"". Former general Sami Rammah used a megaphone to call for an uprising and the prosecution of ""all the corrupt"", while demonstrators unhooked and trampled a portrait of President Michel Aoun.",Risk
"Indispensable subsidies
""We have great ambitions for night trains in France (...), and in the coming weeks and months we're going to have a policy to promote and revitalize night trains,"" Jean-Baptiste Djebbari, Minister Delegate for Transport, promised in July. ""Everyone complains about mass tourism, where you're stuck on low-cost flights in garish colors. But night trains are all about taking your time and enjoying the experience. The journey is no longer a chore, but an integral part of the trip"", he explained to Europe1.",Opportunity
"At the beginning of the week, bad news about the contagion of the virus and the fall in oil prices sent a wave of panic through the world markets. It was reminiscent of the worst hours of the 2008 financial crisis. Asian stock markets plummeted, with European and American markets following in their wake. On March 9, a veritable Black Monday, Tokyo closed down 5.07%, the CAC40 plunged 8.39%, its worst session since 2008, the DAX30 fell 7.94%, the Milan MIB 11.17%, the Dow Jones 7%... The S&P500 even saw its trading halted to halt the bearish frenzy. Tuesday's rebound was short-lived, as the various announcements of confinements and protectionism sent the stock markets plunging again at the end of the week, and they continued to do so on Monday, with new travel restrictions on the rise. At this stage, for analysts, the condition for a lasting return to calm is the stabilization of the number of coronavirus cases, which does not appear to be on the agenda.",Risk
"Faced with economic difficulties, public authorities and institutions are reaching into their pockets to provide emergency relief and try to keep the economy going. The World Bank has earmarked up to $12 billion to support the health systems and economies of affected developing countries. China has released $43 billion to help its companies, Japan $4 billion, the UK €35 billion and Italy €25 billion. In the United States, the Fed will cut interest rates (as will the Bank of England) to facilitate access to credit for economic players, who will also benefit from a three-month suspension of payroll taxes (over $300 billion). The Fed is also injecting at least $150 billion a day into the money market. In France, the government is also implementing aid measures, with a 300 billion euro package to guarantee new bank loans to businesses. Finally, the European Union has announced a €25 billion investment fund (essentially existing funds). But while the European Central Bank is planning to buy a further 120 billion euros of debt by the end of the year, and a program of loans to help SMEs, it is leaving rates unchanged.",Opportunity
"[Updated March 5, 2020] It's a rare decision. Faced with soaring prices for hydroalcoholic gels in France following fears over the Coronavirus epidemic, Bercy has announced a price limit of 2 euros for 50 milliliters and 3 euros for 100 milliliters. A decree ""has been sent to the Council of State and the National Consumer Council"" to be ""signed this evening and published tomorrow (Friday March 6, editor's note)"", announced Agnès Pannier-Runacher, Secretary of State to the Minister of the Economy and Finance, on France Info.",Opportunity
"While the ENA as such is to disappear, as announced by Emmanuel Macron, the principle of specific training for senior civil servants has been maintained. As for the ""grand corps system"", it has been modified, but not abolished: inspectorate officials (IGF, IGA, IGAS) would be appointed for a limited period, but the major jurisdictional bodies (Conseil d'Etat and Cour des Comptes) have been maintained, as their independence is enshrined in the Constitution.",Opportunity
"2. Central African Republic
1.8 million inhabitants in need of food aid
Since its independence in 1960, the Central African Republic has suffered from recurrent conflicts and disorders. Today, 2.6 million inhabitants, more than half the population, are in need of humanitarian assistance. And attacks on civilian populations have forced 600,000 people from their homes, the vast majority of whom have taken refuge in neighboring countries.",Risk
"6. North Korea (Lack of access to drinking water)
11 million inhabitants in need of humanitarian aid",Risk
"Today, the equivalent of 50,000 euros is in circulation. 2,000 people are actively using these Pêches in 15 arrondissements of Paris (all except the 1st, 2nd, 5th, 8th and 16th) and in 21 towns in the inner suburbs, including Nanterre, Saint-Denis, Saint-Maur-des-Fossés and Alfortville. The ultimate aim is to make this local currency, which was launched in Montreuil in 2014, available throughout Greater Paris. Quite a challenge.",Opportunity
"""The local currency acts as a kind of label, to help consumers make the right choices when they don't always have the time to find out. Our ambition is to divert financial flows towards truly responsible companies, or those in the process of becoming so. None of our service providers yet respects the four pillars of our charter, but we're working with them in this direction, creating links between them to create a local dynamic that can compete with our real enemies, i.e. McDonald's, Starbucks, etc."", explains the young man, who is also a student at Sciences-Po.",Opportunity
"Meet Emma, your colleague from the future. Granted, she's a bit scary with her bent back, red eyes, swollen wrists, varicose veins and pale complexion. But it has to be said, she has all the ills of the sedentary office worker. This mannequin was designed by British ergonomic experts (1) to draw attention to the fact that nine out of ten employees spend more than six hours a day sitting.",Risk
"According to the report, office workers already suffer from eye strain (50%), back pain (49%) and headaches (48%) as a result of their workspace. And the situation is likely to worsen with the growth of call centers, which impose very fast rhythms on very young populations.",Risk
"For their part, delivery drivers are continuing to work on a nationwide collective agreement. A year ago, a meeting was held in Brussels to launch the Transnational Federation of Couriers. ""Eventually, the idea is to federate all platform workers,"" hopes Laurent Degousée.",Opportunity
"Does French star app Yuka have any worries? The very popular ""C'est qui le patron?!"" brand is also launching a food rating app. And unlike Yuka, it won't be limiting itself to nutritional impact. More than seven criteria are taken into account: environment, ethics, quality, nutrition, price, origin, appreciation.",Opportunity
"Who would ever have imagined that KFC, the emblem of fried chicken, would be serving its customers nuggets made with plant-based proteins? But that's exactly what the fast-food chain has just tested in one of its restaurants near Atlanta in the United States.",Opportunity
"It was the associations - the Croix Rouge, the Fédération française des Banques Alimentaires, the Restaurants du Cœur and Secours Populaire - who quickly sounded the alarm, noticing the strange appearance and taste of the steaks. These had been distributed to the four associations under a contract financed by the European Fund for Aid to the Most Deprived. In 2018, 1,500 tons of frozen minced steaks were purchased for a total of 5.2 million euros.",Risk
"The minced steaks were supplied by a French company sourcing from a Polish manufacturer. A French intermediary was also identified. The heads of the two French companies have been questioned by investigators, and the Polish authorities have been informed. However, the names of these companies have not been divulged until the case is officially referred to the courts. In the meantime, distribution has been ""immediately halted"".",Risk
"The years go by and the scandals repeat themselves. The latest came on February 1. The French Ministry of Agriculture discovered 795 kilos of tainted Polish meat in nine agri-food companies in France. Earlier, there was the salmonella scandal in Lactalis infant milk and fipronil in eggs.",Risk
"She points out that a report by the French National Consumer Council, commissioned by Bercy, put forward a number of ideas in July, including blocking the products concerned at the checkout and publishing recalls on a single website.",Opportunity
"Lastly, the Cour des Comptes calls for greater participation by professionals in financing health controls, pointing out that compared with other EU member states, ""France makes little contribution"" from these professionals.",Risk
"Some 263 companies were sanctioned in 2018 to the tune of 17.2 million euros for late payment by their suppliers and subcontractors, Secretary of State for the Economy Agnès Pannier-Runacher announced in a statement.",Risk
"Danone, Lucien Barrière or CD discount... In 2018, 263 companies were sanctioned for late payments by their suppliers or subcontractors. Delays that sometimes have vital consequences for small businesses.",Risk
"Late payments are ""likely to cause cash flow problems and have repercussions on the suppliers of companies that fall victim to them. This is why they must be strictly sanctioned"", Bercy's press release reminds us. In all, more than 2,700 establishments were checked in 2018 by the DGCCRF, which notes ""year on year a fall in late payments"": 10.7 days on average in Q2 2018, compared with 12.6 days at the start of 2016.",Risk
"Since March 1, companies with over 1,000 employees have been required to publish a gender pay index. Next September, companies with more than 250 employees will have to comply, followed by those with more than 50 employees in March 2020.",Opportunity
"The ban on brands throwing away their unsold clothing will indeed be enshrined in the circular economy law, despite vague wording denounced by Emmaüs. The textile industry says it is satisfied with this measure, which should be voted on at the end of 2019. While this practice is very marginal among fast-fashion giants, luxury houses will have to review the management of their unsold garments.",Opportunity
"Luxury brands are particularly targeted. Unlike the fast-fashion giants, who sell off their products, sell them to destockers or donate them to associations, luxury brands struggle to find exit channels. ""For some houses, selling an item at 50% off is devaluing the product,"" Jean-Noel Kapferer, professor at the Inseec Luxury Institute, told Novethic.",Risk
"A law that's not ambitious enough
The circular economy bill, due to be presented by the end of the summer, has a few holes in it. For it makes the obligation to reuse or recycle unsold textiles conditional on this being ""technically possible"". ""A vague notion that could become a loophole"", warns Valérie Fayard, deputy general manager of Emmaus, ""especially as the ban on burning or throwing away is not clearly indicated"".",Risk
"It's a major public health problem, but one that's completely under the radar. Every year, 10,000 to 14,000 deaths are attributable to unemployment in France. Chronic diseases, cardiovascular pathologies, anxiety, depression, suicide, addictions reinforced by low self-esteem, failure to seek medical care... Unemployed people suffer twice as many deaths as working people of the same age.",Risk
"An increase in cardiovascular disease, chronic pathologies and cancer, as well as stress, anxiety, increased addictive behavior, sleep and eating disorders, depression and even suicide: the risk of death among unemployed people is double that of working people of the same age.",Risk
"Unemployed people, for example, have an 80% higher risk of stroke and heart attack than working people. They are more likely to die of cancer. And 40% of them have already foregone medical treatment for financial reasons, compared with 25% of working people. ""It's a subject that is collectively underestimated"", exclaims the association Solidarité Nouvelles face au Chômage (SNC) in a report published last September (1). It calls on political leaders, public authorities, institutions and healthcare professionals to improve health care for the unemployed.",Risk
"In an opinion published in 2016, the French Economic, Social and Environmental Council (Conseil économique, social et environnemental - Cese), also considered this to be a ""major public health problem"". ""The way we look at people experiencing unemployment must evolve and become more benevolent and objective. Preventing the most devastating social consequences for the unemployed and those around them means combating the stigmatization that undermines the legitimate exercise of their rights, their self-image and, ultimately, their very reintegration into the job market.""",Risk
"The head of Poland's veterinary services, Pawel Niemczuk, stated that ""2.7 tons were sold to EU member states"" (Finland, Hungary, Estonia, Romania, Sweden, France, Spain, Lithuania, Portugal and Slovakia), while 7 tons of meat from this slaughter were distributed to some 20 sales outlets in Poland.",Risk
"From household appliances to textiles, electronics and automobiles, all appliances are rated first by experts such as Que Choisir, iFixit or the Fnac-Darty lab, and then by users. Rating criteria vary according to the solidity of the appliance, the quality of after-sales service and the repairability of the product.",Opportunity
"The aim is also to raise awareness among consumers, reminding them that today 44% of electrical and electronic products that break down are not repaired, or that the lifespan of a computer was divided by three between 1985 and 2015, dropping from 11 to 4 years. Hence the advice offered on the site on how to repair appliances, give them a second life and find out where to recycle them.",Opportunity
"In France, the number of overweight and obese people has risen considerably. In a report published in September, the French National Food Council (CNA) estimates that 18 million French people are obese, i.e. 17% of adults and 4% of children. With major social inequalities: a working-class child is four times more likely to be obese than an executive's child.",Risk
"As of January 1, it will no longer be possible to rent out the most energy-hungry thermal flats. The aim is to boost the energy renovation of buildings, an issue that has been dragging on for some fifteen years, with each player passing the buck. This new measure has been widely criticized. However, it is far from sufficient to provide any real impetus.",Opportunity
"From January 1, 2023, the most energy-intensive homes, with energy consumption exceeding 450 kWh/m2 (G homes), will no longer be able to be offered for rent. This is expected to affect 90,000 homes. Gradually, the ban will be extended to cover all ""thermal flats"" - some 5 million units. Will this give a boost to energy-efficient building renovation and help us meet our targets? In theory, yes, but on the ground, as with every major change, anger is mounting.",Opportunity
"""How do you turn a good idea into an industrial disaster? The timetable is untenable"", Christophe Demerson, President of the French National Union of Property Owners (UNPI), tells Novethic, concerned about the many properties that will be withdrawn from the rental market. He lists ""the unreliability"" of the recently reformed Energy Performance Diagnostic (DPE), ""shortages of materials, the explosion in their prices and the unavailability of craftsmen"". Building professionals also point to the complexity of obtaining approval and subsidies.",Risk
"Exceptions for dwellings that can't be insulated
""Everyone is right at their level, but we've been treading water for fifteen years now when it comes to energy renovation, and the justifications are always the same. If we had respected the objectives of the Grenelle Environment Forum in 2008, we could have done without Russian gas as early as 2020,"" Andreas Rüdinger, an associate researcher at IDDRI specializing in energy and climate policies and author of a study on the subject, published in May 2022, reminds Novethic.",Opportunity
"One report follows another. Cour des Comptes, Assemblée Nationale, Comité d'évaluation du Plan France Relance... they all deplore the failure of public policies on energy renovation. This is because they continue to favor single gestures over comprehensive renovations, and change the rules of the game every year, or even every six months for Ma Prime Rénov', the latest scheme to be launched. According to the latest figures, by 2022, 670,000 energy renovations had been carried out, with 3.1 billion euros in subsidies allocated, but only 66,000 comprehensive renovations had been recorded.",Opportunity
"""Today, we need to get moving, so the timetable we've put in place for thermal flaws is very important, otherwise we'll never get there. On the other hand, we have to recognize that we won't be able to insulate everything, especially small areas in Haussmann-style buildings that can't be insulated from the outside. For these cases, we need to create exceptions"", suggests Thierry Marchand, DPE diagnostician in Brittany, interviewed by Novethic.",Opportunity
"Creating a demand shock
The fact remains that the gradual ban on the use of passive heating systems in rental properties is only symbolic, since in the case of occupied properties, it's up to the tenant to take steps to force the landlord to carry out the work. However, in a very tight market, particularly in large cities, there is little chance that tenants will turn against their landlords when it comes to small surface areas, which are often the most poorly insulated. Above all, it's a signal to those who would like to invest and who will avoid taking poorly-rated accommodation"", comments Andreas Ruddinger.",Opportunity
"For the researcher, while this measure is nonetheless useful, it needs to be accompanied by a short-term operational roadmap setting out overall objectives in terms of aid, training for craftsmen, etc... year by year. ""And above all, we need a demand shock to create a market that doesn't exist, as we did for solar energy. We mustn't hesitate to unblock very substantial subsidies at the outset, including for the wealthiest households, those with the capacity to carry out the work, to send a strong signal to the industry and accept windfall effects"", he explains.",Opportunity
"This is not the path chosen by the government. Last November, it rejected two amendments voted by MPs to free up nearly 12 billion euros for thermal renovation of housing. ""We can't multiply thermal renovation work sevenfold overnight,"" said Prime Minister Elisabeth Borne. However, the 2023 Budget found 45 billion euros for the tariff shield, which applies regardless of income or consumption to all French people, compared with 2.5 billion euros for Ma Prime Rénov', i.e. 18 times less.",Opportunity
"From now on, NGOs will be targeting major corporations through their duty of vigilance. After Total Energies, whose trial was held in December, BNP Paribas has been given formal notice to cease financing new fossil fuel projects. With two days to go before the deadline, the bank has published new commitments to reduce its oil and gas credits. But this is still not enough for the NGOs, who are considering taking the bank to court.",Opportunity
"This Thursday, January 26, marks the deadline for the formal notice launched three months ago against BNP Paribas by three NGOs, Oxfam, Notre Affaire à tous and Friends of the Earth, as part of the duty of vigilance law. The latter, in force since 2017 in France, obliges multinationals, including financial institutions, to publish and implement a due diligence plan to identify environmental protection risks, based in particular on the OECD Guidelines.",Opportunity
"The organizations called on the bank to stop supporting new fossil fuel projects. They point out that BNP Paribas is Europe's leading financier of fossil fuels, and the world's fifth largest, with $55 billion granted in 2016 and 2021. It is also the world's leading financier of the eight American and European oil and gas majors (TotalEnergies, Chevron, ExxonMobil, Shell, BP, Eni, Repsol and Equinor).",Opportunity
"""Our message is indeed that we need less and less oil production""
Two days before the legal deadline, the bank published new climate commitments on oil and gas, as part of its trajectory of alignment with the Paris Agreement targets, reinforcing those already made last spring. BNP Paribas has set itself the target of reducing its outstandings linked to gas extraction and production by 30%, and those linked to oil extraction and production by 80%, by 2030, bringing outstanding financing for oil extraction and production down to less than 1 billion euros, compared with 5 billion euros at present.",Opportunity
"""To do this, we rely on our customers' sales. This means that those who have a large portion of their business dedicated to oil exploration and production will see the amount of their credits drastically reduced. Our message is that we need less and less oil exploration and production, and to a lesser extent gas,"" Laurence Pessez, Head of CSR at BNP Paribas since 2010, tells Novethic. ""Our portfolio will evolve in line with our customers' commitments to the energy transition,"" she adds.",Opportunity
"This is still not enough for the NGOs, who are now considering taking the bank to court. This could be the first climate litigation in the world to involve a financial player. ""BNP Paribas is not providing any new response to our request that it stop financing new fossil fuel projects today, in line with the recommendations of the International Energy Agency (IEA). The 2030 deadline is too far off. What's more, shares and bonds, which are financial equity instruments widely used in the oil and gas sector, are not affected by these exclusions"", says Lorette Philippot, finance and fossil fuels campaigner at Friends of the Earth France.",Opportunity
"""We can't afford to wait any longer"".
At the heart of the dispute is the support for Total Energies, which, among other things, is behind the Eacop mega-pipeline project in Uganda and Tanzania, highly controversial and criticized for its environmental and human impacts. But BNP Paribas is adamant that ""to stop financing a player like Total Energies, which invests in the maintenance and security of the current system and in renewable energies, would be to do without a major player who has the levers to make the energy transition a success"", explains Laurence Pessez.",Risk
"The NGOs behind the formal notice do not see it that way, and are keeping up the pressure to get the banking, fossil fuel and agri-food giants to speed up their transformation. ""We are forced to note that the positions of certain NGOs have become radicalized, preventing constructive dialogue,"" laments Laurence Pessez. We're not closed to dialogue,"" retorts Lorette Philippot. On the other hand, we can no longer afford to wait, given the acceleration of climate change and the violence of extreme events. We've been pressing our case for ten years to no avail. We have therefore decided to use another means to be heard"".",Opportunity
"To date, a dozen cases concerning the duty of care are underway. The most recent case concerns TotalEnergies' Eacop project. The first hearing on the merits was held in December. Deliberation will take place on February 28. It will be particularly closely scrutinized.",Opportunity
"Will the extension of nuclear power plants beyond 60 years, hoped for by EDF and the government, pass the climate test? The French nuclear safety authority (Autorité de sûreté nucléaire) is demanding that the long-term impacts of climate change be included in the documents the energy company is required to provide in order to extend its reactors. Sharing water resources, lower electricity production forecasts, impacts on natural environments - these are just some of the issues that will have to be taken into account.",Opportunity
"In the midst of the debate on our energy future, which should be based on the revival of nuclear power and the acceleration of renewable energies, the French Nuclear Safety Authority (ASN) has come to play spoilsport. In his address to the press on Monday January 23, ASN Chairman Bernard Doroszczuk called for a systemic review of the safety issue, and set precise deadlines for EDF, the owner of France's nuclear power plants. In an unprecedented move, he insisted on better consideration of the long-term impact of climate change on power plants. Contacted by Novethic, EDF has not yet responded to our questions.",Opportunity
"At the heart of the debate is the extension of facilities beyond 60 years, or even 80 years, whereas they are currently authorized to operate for up to 50 years. The ASN is asking the electricity company to take these impacts into account in its plans, since the consequences of climate change have so far only been taken into account in the context of ten-yearly inspections. ""This perimeter is too small to appreciate the long-term stakes of climate change"", emphasized Bernard Doroszczuk.",Risk
"Resource sharing, power generation, impacts on flora and fauna
It's a sensitive subject because it explores numerous issues such as the sharing of water resources, impacts on natural environments, and electricity production,"" he emphasized. EDF will therefore have to carry out the two exercises in parallel, not only for existing facilities, but also for new installations, taking into account the potential cumulative effects on a global scale. For example, the construction of a new pair of reactors on the banks of the Rhône, alongside existing facilities, will increase pressure on water resources and impacts on flora and fauna, which EDF will need to anticipate.",Risk
"In the summer of 2022, episodes of heatwave and intense drought led the ASN to grant derogations to five power plants, raising the temperature thresholds for water discharged into rivers. This was a first since 2003. Electricity production was also temporarily slowed. ""These extreme events are still perceived as exceptional. However, the IPCC tells us that they can be two to three times more frequent"", warns the head of ASN. EDF has until the end of 2024 to draw up a solid file on the extension of its power plants, including the climate risk, so that the ASN can take a position by the end of 2026.",Risk
"Removal of the 50% cap on nuclear power in the electricity mix
The subject is at the heart of the news, as senators have just passed the first reading of the law favoring the construction of new nuclear reactors. The government's ambition is to deploy at least six new reactors by 2035, on existing sites, and in the meantime to extend the life of existing reactors as far as possible. This nuclear revival is the subject of a public debate and will have to be discussed in the energy and climate programming law, scheduled for the second half of 2023 and rather in the autumn, given the delay.",Risk
"But without waiting, the senators decided to remove the ceiling of 50% nuclear power in the electricity mix by 2035, which came out of the 2015 energy transition law and had already been postponed for ten years. A totem held dear by the left and the ecologists in particular. The French National Commission for Public Debate (CNDP) did not mince its words, stating that such a measure ""amounts to considering as irrelevant the questions, remarks and proposals made during the current public debate"". Greenpeace France and the Réseau ""Sortir du nucléaire"" (""Nuclear Phase Out"") network have decided to walk out, denouncing ""a democratic charade and a sabotage of the public debate by the government"".",Risk
"13-hour days, conflicts to manage, wages deemed insufficient... Public transport employees in the Paris region fear that their already difficult working conditions will deteriorate with the opening up to competition. Competition is gradually being introduced, under the banner of cost-cutting. Service quality, already heavily criticized as a key factor in decarbonization, is also likely to suffer. More and more consideration is being given to postponing deadlines.",Risk
